AREA NAME,AREA CODE,DISTRICT NAME,DISTRICT NO,ZIP CODE,LOCALE NAME,PHYSICAL DELV ADDR,PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,PHYSICAL ZIP 4
ATLANTIC,4B,CONNECTICUT,060,06006,WINDSOR,245 BROAD ST,WINDSOR,CT,06095,9998
ATLANTIC,4B,CONNECTICUT,060,06030,FARMINGTON,210 MAIN ST,FARMINGTON,CT,06032,9998
ATLANTIC,4B,CONNECTICUT,060,06041,MANCHESTER,111 SHELDON RD,MANCHESTER,CT,06042,9998
ATLANTIC,4B,CONNECTICUT,060,06080,SUFFIELD,235 MOUNTAIN RD,SUFFIELD,CT,06078,9998
ATLANTIC,4B,CONNECTICUT,060,06150,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06151,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06153,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06154,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06155,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06156,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06160,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06161,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06167,EAST HARTFORD,850 MAIN ST,EAST HARTFORD,CT,06108,9998
ATLANTIC,4B,CONNECTICUT,060,06176,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06180,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06183,HARTFORD,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,06269,STORRS MANSFIELD,9 CHARLES SMITH WAY,STORRS MANSFIELD,CT,06268,9998
ATLANTIC,4B,CONNECTICUT,060,06408,CHESHIRE,210 MAPLE AVE,CHESHIRE,CT,06410,9998
ATLANTIC,4B,CONNECTICUT,060,06411,WALLINGFORD CT S&DC,24 RESEARCH PKWY,WALLINGFORD,CT,06492,9990
ATLANTIC,4B,CONNECTICUT,060,06459,MIDDLETOWN,11 SILVER ST,MIDDLETOWN,CT,06457,9998
ATLANTIC,4B,CONNECTICUT,060,06493,WALLINGFORD CT S&DC,24 RESEARCH PKWY,WALLINGFORD,CT,06492,9990
ATLANTIC,4B,CONNECTICUT,060,06494,WALLINGFORD,4 S MAIN ST,WALLINGFORD,CT,06492,9998
ATLANTIC,4B,CONNECTICUT,060,06494,WALLINGFORD CT S&DC,24 RESEARCH PKWY,WALLINGFORD,CT,06492,9990
ATLANTIC,4B,CONNECTICUT,060,06495,WALLINGFORD,4 S MAIN ST,WALLINGFORD,CT,06492,9998
ATLANTIC,4B,CONNECTICUT,060,06537,NEW HAVEN,50 BREWERY ST,NEW HAVEN,CT,06511,5925
ATLANTIC,4B,CONNECTICUT,060,06538,NEW HAVEN,50 BREWERY ST,NEW HAVEN,CT,06511,5925
ATLANTIC,4B,CONNECTICUT,060,06540,NEW HAVEN,50 BREWERY ST,NEW HAVEN,CT,06511,5925
ATLANTIC,4B,CONNECTICUT,060,06673,BRIDGEPORT CT S&DC,120 MIDDLE ST,BRIDGEPORT,CT,06602,9996
ATLANTIC,4B,CONNECTICUT,060,06699,BRIDGEPORT CT S&DC,120 MIDDLE ST,BRIDGEPORT,CT,06602,9996
ATLANTIC,4B,CONNECTICUT,060,06792,TORRINGTON,185 E ELM ST,TORRINGTON,CT,06790,9998
ATLANTIC,4B,CONNECTICUT,060,06857,NORWALK,16 WASHINGTON ST,NORWALK,CT,06854,9998
ATLANTIC,4B,CONNECTICUT,060,06858,NORWALK,16 WASHINGTON ST,NORWALK,CT,06854,9998
ATLANTIC,4B,CONNECTICUT,060,06860,NORWALK,16 WASHINGTON ST,NORWALK,CT,06854,9998
ATLANTIC,4B,CONNECTICUT,060,06879,RIDGEFIELD,26 CATOONAH ST,RIDGEFIELD,CT,06877,9998
ATLANTIC,4B,CONNECTICUT,060,06888,WESTPORT CARRIER ANNEX,234 WESTPORT AVE,NORWALK,CT,06851,9993
ATLANTIC,4B,CONNECTICUT,060,06889,WESTPORT CARRIER ANNEX,234 WESTPORT AVE,NORWALK,CT,06851,9993
ATLANTIC,4B,CONNECTICUT,060,06913,WEST AVE,317 WEST AVE,STAMFORD,CT,06902,9998
ATLANTIC,4B,CONNECTICUT,060,06914,WEST AVE,317 WEST AVE,STAMFORD,CT,06902,9998
ATLANTIC,4B,CONNECTICUT,060,06926,STAMFORD CT SDC,24 CAMP AVE,STAMFORD,CT,06907,9990
ATLANTIC,4B,CONNECTICUT,060,06927,STAMFORD,24 CAMP AVE,STAMFORD,CT,06907,9998
ATLANTIC,4B,DE-PA 2,190,18003,LEHIGH VALLEY POSTAL STORE,17 S COMMERCE WAY,BETHLEHEM,PA,18017,9026
ATLANTIC,4B,DE-PA 2,190,18098,EMMAUS,105 N 5TH ST,EMMAUS,PA,18049,9998
ATLANTIC,4B,DE-PA 2,190,18099,EMMAUS,105 N 5TH ST,EMMAUS,PA,18049,9998
ATLANTIC,4B,DE-PA 2,190,18540,SCRANTON,2800 STAFFORD AVE,SCRANTON,PA,18505,9998
ATLANTIC,4B,DE-PA 2,190,18577,SCRANTON,2800 STAFFORD AVE,SCRANTON,PA,18505,9998
ATLANTIC,4B,DE-PA 2,190,18762,WILKES BARRE PA S&DC,300 S MAIN ST,WILKES BARRE,PA,18701,9903
ATLANTIC,4B,DE-PA 2,190,18764,WILKES BARRE PA S&DC,300 S MAIN ST,WILKES BARRE,PA,18701,9903
ATLANTIC,4B,DE-PA 2,190,18765,WILKES BARRE PA S&DC,300 S MAIN ST,WILKES BARRE,PA,18701,9903
