AREA NAME,AREA CODE,District Name,District,LEAD FINANCE NBR,ZIP CODE,ZIP CLASS CODE,LOCALE NAME,LOCALE KEY,LOCALE TYPE,PHYSICAL DELV ADDR,PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,PHYSICAL ZIP 4
SOUTHERN,4G,PUERTO RICO,006,426930,00734,P,PONCE,PV17246,P,2340 AVE EDUARDO RUBERTE,PONCE,PR,00717,9998
SOUTHERN,4G,PUERTO RICO,006,422250,00742,,CEIBA,PV17169,P,305 AVE LAURO PINERO,CEIBA,PR,00735,9998
SOUTHERN,4G,PUERTO RICO,006,428460,00906,P,SAN JUAN,PV17274,P,585 AVE FD ROOSEVELT STE 202,SAN JUAN,PR,00936,9998
ATLANTIC,4B,MA-RI,020,240136,01003,,AMHERST,PV21413,P,145 UNIVERSITY DR,AMHERST,MA,01002,9998
ATLANTIC,4B,MA-RI,020,243366,01088,,HATFIELD,PV21878,P,7 SCHOOL ST,HATFIELD,MA,01038,9998
ATLANTIC,4B,MA-RI,020,247820,01144,,SPRINGFIELD,PV22552,P,1883 MAIN ST,SPRINGFIELD,MA,01101,9998
ATLANTIC,4B,MA-RI,020,247820,01152,,SPRINGFIELD,PV22552,P,1883 MAIN ST,SPRINGFIELD,MA,01101,9998
ATLANTIC,4B,MA-RI,020,246188,01203,P,PITTSFIELD,PV22313,P,212 FENN ST,PITTSFIELD,MA,01201,9998
ATLANTIC,4B,MA-RI,020,247429,01252,,SOUTH EGREMONT,PV22504,P,64 MAIN ST,SOUTH EGREMONT,MA,01258,9998
ATLANTIC,4B,MA-RI,020,240068,01256,,ADAMS,PV21396,P,1 CENTER ST,ADAMS,MA,01220,9998
ATLANTIC,4B,MA-RI,020,241190,01343,,CHARLEMONT,PV21595,P,90-3 MAIN ST,CHARLEMONT,MA,01339,9998
ATLANTIC,4B,MA-RI,020,246545,01350,P,ROWE,PV22365,P,321 ZOAR RD STE 1,ROWE,MA,01367,9998
ATLANTIC,4B,MA-RI,020,245967,01378,,ORANGE,PV22282,P,72 S MAIN ST,ORANGE,MA,01364,9998
ATLANTIC,4B,MA-RI,020,248551,01380,,WENDELL DEPOT,PV22746,P,466 WENDELL DEPOT RD,WENDELL DEPOT,MA,01380,9998
ATLANTIC,4B,MA-RI,020,249622,01601,P,WORCESTER,PV22863,P,4 E CENTRAL ST,WORCESTER,MA,01613,9998
ATLANTIC,4B,MA-RI,020,249622,01614,P,WORCESTER,PV22863,P,4 E CENTRAL ST,WORCESTER,MA,01613,9998
ATLANTIC,4B,MA-RI,020,249622,01655,,WORCESTER,PV22863,P,4 E CENTRAL ST,WORCESTER,MA,01613,9998
ATLANTIC,4B,MA-RI,020,245661,01825,P,NORTH READING,PV22246,P,174 PARK ST,NORTH READING,MA,01864,9998
ATLANTIC,4B,MA-RI,020,245032,02714,P,NEW BEDFORD,PV22149,P,695 PLEASANT ST,NEW BEDFORD,MA,02740,9998
ATLANTIC,4B,MA-RI,020,432240,02815,,CLAYVILLE,PV25856,P,479 FIELD HILL RD,CLAYVILLE,RI,02815,1107
ATLANTIC,4B,MA-RI,020,431960,02836,,CHARLESTOWN,PV25854,P,3970 OLD POST RD,CHARLESTOWN,RI,02813,9998
ATLANTIC,4B,MA-RI,020,434480,02858,,HARRISVILLE,PV25891,P,131 HARRISVILLE MAIN ST,HARRISVILLE,RI,02830,9998
ATLANTIC,4B,ME-NH-VT,040,328580,03575,P,TWIN MOUNTAIN,PV25763,P,120 US HIGHWAY 3 N,TWIN MOUNTAIN,NH,03595,9998
ATLANTIC,4B,ME-NH-VT,040,328580,03589,P,TWIN MOUNTAIN,PV25763,P,120 US HIGHWAY 3 N,TWIN MOUNTAIN,NH,03595,9998
ATLANTIC,4B,ME-NH-VT,040,328700,03609,,WALPOLE,PV25785,P,47 MAIN ST UNIT 1,WALPOLE,NH,03608,9998
ATLANTIC,4B,ME-NH-VT,040,324470,03756,,LEBANON,PV25545,P,11 E PARK ST,LEBANON,NH,03766,1355
ATLANTIC,4B,ME-NH-VT,040,220600,04007,P,BIDDEFORD,PV24744,P,100 ALFRED ST,BIDDEFORD,ME,04005,9998
ATLANTIC,4B,ME-NH-VT,040,228130,04013,,SOUTH FREEPORT,PV25199,P,95 S FREEPORT RD,SOUTH FREEPORT,ME,04078,9998
ATLANTIC,4B,ME-NH-VT,040,226900,04109,,PORTLAND,PV25132,P,125 FOREST AVE,PORTLAND,ME,04101,9998
ATLANTIC,4B,ME-NH-VT,040,228940,04454,P,VANCEBORO,PV25263,P,23 WATER ST,VANCEBORO,ME,04491,9998
ATLANTIC,4B,ME-NH-VT,040,223360,04485,P,GREENVILLE,PV24920,P,25 LILY BAY RD,GREENVILLE,ME,04441,9998
ATLANTIC,4B,ME-NH-VT,040,220750,04549,,BOOTHBAY,PV24753,P,13 COREY LN,BOOTHBAY,ME,04537,9998
ATLANTIC,4B,ME-NH-VT,040,220765,04570,P,BOOTHBAY HARBOR,PV24754,P,15 OAK ST,BOOTHBAY HARBOR,ME,04538,9998
ATLANTIC,4B,ME-NH-VT,040,226960,04637,P,PRINCETON,PV25135,P,20 MAIN ST,PRINCETON,ME,04668,9998
ATLANTIC,4B,ME-NH-VT,040,220950,04642,,BROOKSVILLE,PV24765,P,945 COASTAL RD,BROOKSVILLE,ME,04617,9998
ATLANTIC,4B,ME-NH-VT,040,224800,04686,,MACHIAS,PV25003,P,89 COURT ST STE 1,MACHIAS,ME,04654,9998
ATLANTIC,4B,ME-NH-VT,040,222985,04737,P,FORT KENT,PV24893,P,152 W MAIN ST,FORT KENT,ME,04743,9998
ATLANTIC,4B,ME-NH-VT,040,222985,04741,P,FORT KENT,PV24893,P,152 W MAIN ST,FORT KENT,ME,04743,9998
ATLANTIC,4B,ME-NH-VT,040,220180,04764,,ASHLAND,PV24718,P,14 SHERIDAN RD,ASHLAND,ME,04732,9998
